Compounds	Object ID	InChI-Key	SMILES	
3-hydroxytyrosol	CPD-15887	InChIKey=JUUBCHWRXWPFFH-UHFFFAOYSA-N	C1(C(=CC(O)=C(C=1)O)CCO)	
L-(4-hydroxyphenyl)glycine	CPD-16508	InChIKey=LJCWONGJFPCTTL-ZETCQYMHSA-N	C([O-])(=O)C([N+])C1(=CC=C(O)C=C1)	
3-linalylflaviolin	CPD-16656	InChIKey=YLXGIQYXMIHMOL-UHFFFAOYSA-N	C=CC(C)(CCC=C(C)C)C2(C(C1(C(O)=CC(O)=CC=1C(=O)C=2O))=O)	
3-geranylflaviolin	CPD-16657	InChIKey=FWXGFZYOLNDRLJ-KPKJPENVSA-N	CC(C)=CCCC(C)=CCC2(C(C1(C(O)=CC(O)=CC=1C(=O)C=2O))=O)	
2-<i>O</i>,3-dimethylflaviolin	CPD-16658	InChIKey=MMVQTVRCJUHCSV-UHFFFAOYSA-N	CC2(C(C1(C(O)=CC(O)=CC=1C(=O)C=2OC))=O)	
6-linalyl-2-O,3-dimethylflaviolin	CPD-16659	InChIKey=VOXTWWMONIHUIK-UHFFFAOYSA-N	C=CC(C)(CCC=C(C)C)C1(C(O)=CC2(=C(C(O)=1)C(C(C)=C(OC)C(=O)2)=O))	
7-O-geranyl-2-O,3-dimethylflaviolin	CPD-16662	InChIKey=JSICQLYEVMVRNL-NTEUORMPSA-N	CC(C)=CCCC(C)=CCOC2(C=C(C1(=C(C(=O)C(=C(C)C1=O)OC)C=2))O)	
toluquinol	CPD-16720	InChIKey=CNHDIAIOKMXOLK-UHFFFAOYSA-N	CC1(=CC(O)=CC=C(O)1)	
gentisyl alcohol	CPD-16721	InChIKey=PUZSUVGRVHEUQO-UHFFFAOYSA-N	C(O)C1(=C(O)C=CC(O)=C1)	
gentisaldehyde	CPD-16722	InChIKey=CLFRCXCBWIQVRN-UHFFFAOYSA-N	C(=O)C1(=CC(=CC=C(O)1)O)	
mompain	CPD-16816	InChIKey=DBSNTEVHAJLWOY-UHFFFAOYSA-M	C1(C(O)=C(O)C2(=C(C(O)=1)C(C=C([O-])C(=O)2)=O))	
<i>N</i>-(3-phenylpropanoyl)glycine	CPD-16822	InChIKey=YEIQSAXUPKPPBN-UHFFFAOYSA-M	C([O-])(=O)CNC(CCC1(=CC=CC=C1))=O	
2-[(3-oxo-3-phenylpropyl)amino]acetate	CPD-16823	InChIKey=XHSURMJJKAFELI-UHFFFAOYSA-M	C(C(=O)[O-])NCCC(=O)C1(C=CC=CC=1)	
cinnamoylglycine	CPD-16824	InChIKey=YAADMLWHGMUGQL-VOTSOKGWSA-M	C(C(=O)[O-])NC(=O)C=CC1(=CC=CC=C1)	
4-hydroxypropiophenone	CPD-16871	InChIKey=RARSHUDCJQSEFJ-UHFFFAOYSA-N	CCC(=O)C1(C=CC(O)=CC=1)	
4-hydroxy-2-nitrophenol	CPD-17569	InChIKey=VIIYYMZOGKODQG-UHFFFAOYSA-M	C1(C(O)=CC(=C(C=1)[O-])[N+](=O)[O-])	
2-nitrophenol	CPD-258	InChIKey=IQUPABOKLQSFBK-UHFFFAOYSA-M	C1(C=CC(=C(C=1)[N+](=O)[O-])[O-])	
2,3,5-trihydroxytoluene	CPD-616	InChIKey=GIGNQZIJYUEWTI-UHFFFAOYSA-N	CC1(C(=C(C=C(C=1)O)O)O)	
methylcinnamate	CPD-6421	InChIKey=CCRCUPLGCSFEDV-BQYQJAHWSA-N	COC(C=CC1(C=CC=CC=1))=O	
methyl benzoate	CPD-6441	InChIKey=QPJVMBTYPHYUOC-UHFFFAOYSA-N	COC(C1(C=CC=CC=1))=O	
methylchavicol	CPD-6484	InChIKey=ZFMSMUAANRJZFM-UHFFFAOYSA-N	C=CCC1(C=CC(=CC=1)OC)	
4-nitrobenzoate	CPD-704	InChIKey=OTLNPYWUJOZPPA-UHFFFAOYSA-M	C([O-])(=O)C1(C=CC([N+]([O-])=O)=CC=1)	
ammeline	CPD-7399	InChIKey=MASBWURJQFFLOO-UHFFFAOYSA-N	C1(=NC(N)=NC(N1)=O)(N)	
ammelide	CPD-7400	InChIKey=YSKUZVBSHIWEFK-UHFFFAOYSA-M	C1(=NC(=O)NC([O-])=N1)(N)	
<i>N</i>-cyclopropylmelamine	CPD-7403	InChIKey=LVQDKIWDGQRHTE-UHFFFAOYSA-N	C2(N=C(NC1(CC1))N=C(N=2)N)(N)	
<i>N</i>-cyclopropylammeline	CPD-7404	InChIKey=YWSPFJMRXWALBW-UHFFFAOYSA-N	C2(N=C(O)N=C(NC1(CC1))N=2)(N)	
<i>N</i>-cyclopropylammelide	CPD-7405	InChIKey=BLNVGTGPKHCQME-UHFFFAOYSA-N	C1(=NC(O)=NC(=N1)O)(NC2(CC2))	
2-naphthylamine-1-sulfonate	CPD-8814	InChIKey=GWIAAIUASRVOIA-UHFFFAOYSA-M	C1(C=CC2(=C(C=1)C=CC(=C2S(=O)(=O)[O-])N))	
6,8-dihydroxypurine	CPD-9016	InChIKey=UFOMXOFPHORATB-UHFFFAOYSA-N	C1(NC2(N=C(NC(C(=N1)O)=2)O))	
8-hydroxypurine	CPD-9017	InChIKey=YPDSIEMYVQERLJ-UHFFFAOYSA-N	C2(N=CC1(=C(N=C(O)N1)N=2))	
<i>m</i>-nitrophenol	CPD-9127	InChIKey=RTZZCYNQPHTPPL-UHFFFAOYSA-N	C1(=CC(=CC(=C1)[N+](=O)[O-])O)	
2,4-dinitrotoluene	CPD-9132	InChIKey=RMBFBMJGBANMMK-UHFFFAOYSA-N	CC1(C=CC(=CC=1[N+](=O)[O-])[N+]([O-])=O)	
2,6-dinitrotoluene	CPD-9133	InChIKey=XTRDKALNCIHHNI-UHFFFAOYSA-N	CC1(=C([N+]([O-])=O)C=CC=C1[N+](=O)[O-])	
2,4,5-trihydroxytoluene	CPD-9136	InChIKey=QKGQHTCUNGPCIA-UHFFFAOYSA-N	CC1(C=C(O)C(=CC=1O)O)	
2,4,6-trinitrotoluene	CPD-9138	InChIKey=SPSSULHKWOKEEL-UHFFFAOYSA-N	CC1(C([N+](=O)[O-])=CC([N+](=O)[O-])=CC([N+]([O-])=O)=1)	
toluene diisocyanate	CPD-9139	InChIKey=RUELTTOHQODFPA-UHFFFAOYSA-N	CC1(=C(C=CC=C1N=C=O)N=C=O)	
3-methyl-4-nitrophenol	CPD-9140	InChIKey=PIIZYNQECPTVEO-UHFFFAOYSA-M	CC1(=C(C=CC(=C1)[O-])[N+]([O-])=O)	
4-hydroxylaminotoluene	CPD-9146	InChIKey=AGJOAIMUXIQLCN-UHFFFAOYSA-N	CC1(C=CC(=CC=1)NO)	
2-amino-5-methylphenol	CPD-9147	InChIKey=HCPJEHJGFKWRFM-UHFFFAOYSA-N	CC1(=CC=C(N)C(O)=C1)	
2-nitrobenzoate	CPD-9168	InChIKey=SLAMLWHELXOEJZ-UHFFFAOYSA-M	C(C1(C(=CC=CC=1)[N+](=O)[O-]))(=O)[O-]	
2-hydroxylaminobenzoate	CPD-9169	InChIKey=JKRIWPXSEMPTNP-UHFFFAOYSA-M	C(C1(C(=CC=CC=1)NO))(=O)[O-]	
propachlor	CPD-9378	InChIKey=MFOUDYKPLGXPGO-UHFFFAOYSA-N	CC(N(C1(C=CC=CC=1))C(CCl)=O)C	
cumene	CPD0-2360	InChIKey=RWGFKTVRMDUZSP-UHFFFAOYSA-N	CC(C)C1(=CC=CC=C1)	
actinorhodin intermediate	CPD1A0-6119	InChIKey=SBUXZMWLUZDDQC-XHXARZKCSA-L	CC3(C2(C(C1(C(=C(C=CC=1C(C2C[CH](CC(=O)[O-])O3)=O)C4(C=CC5(=C(C=4O)C(C6(C(C)O[CH](CC(=O)[O-])CC(C5=O)=6))=O)))O))=O))	
actinorhodin	CPD1A0-6123	InChIKey=FWMRBEDBIVVKSX-VMBVQHDESA-L	CC3(C2(C(C1(C(=C(C=C(C=1C(C2C[CH](CC(=O)[O-])O3)=O)O)C4(C=C(C5(=C(C=4O)C(C6(C(C)O[CH](CC(=O)[O-])CC(C5=O)=6))=O))O))O))=O))	
4-tyrosol	CPD3O-4151	InChIKey=YCCILVSKPBXVIP-UHFFFAOYSA-N	C1(C(=CC=C(C=1)O)CCO)	
cyanurate	CYANURIC-ACID	InChIKey=ZFSLODLOARCGLH-UHFFFAOYSA-N	C1(NC(NC(=O)N1)=O)=O	
dihydrocoumarin	DIHYDROCOUMARIN	InChIKey=VMUXSMXIQBNMGZ-UHFFFAOYSA-N	C1(C=C2(C(=CC=1)OC(CC2)=O))	
ethylbenzene	ETHYLBENZENE	InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N	CCC1(C=CC=CC=1)	
fluorene	FLUORENE	InChIKey=NIHNNTQXNPWCJQ-UHFFFAOYSA-N	C1(=CC=C3(C(=C1)CC2(C(=CC=CC=2)3)))	
3-isochromanone	ISOCHROMANONE	InChIKey=ILHLUZUMRJQEAH-UHFFFAOYSA-N	C1(C2(=CC=CC=C(CC(O1)=O)2))	
isomethyleugenol	ISOMETHYLEUGENOL	InChIKey=NNWHUJCUHAELCL-SNAWJCMRSA-N	CC=CC1(C=CC(=C(C=1)OC)OC)	
melilotate	MELILOTATE	InChIKey=CJBDUOMQLFKVQC-UHFFFAOYSA-M	C(CCC1(C(=CC=CC=1)O))([O-])=O	
<i>m</i>-xylene	META-XYLENE	InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N	CC1(C=CC=C(C=1)C)	
naphthalene	NAPHTHALENE	InChIKey=UFWIBTONFRDIAS-UHFFFAOYSA-N	C1(C=C2(C(=CC=1)C=CC=C2))	
nitrosobenzene	NITROSOBENZENE	InChIKey=NLRKCXQQSUWLCH-UHFFFAOYSA-N	C1(C=CC(=CC=1)N=O)	
(<i>S</i>)-benzylsuccinyl-CoA	S-BENZYLSUCCINYL-COA	InChIKey=KIRGTNPWUTXDFF-PNPVFPMQSA-I	CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)C(CC(=O)[O-])CC1(C=CC=CC=1))COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-]	
1,3,6,8-naphthalenetetrol	TETRAHYD-CPD	InChIKey=BCMKHWMDTMUUSI-UHFFFAOYSA-N	C2(C(=CC(=C1(C(O)=CC(O)=CC1=2))O)O)	
toluene	TOLUENE	InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N	CC1(C=CC=CC=1)	
urate	URATE	InChIKey=LEHOTFFKMJEONL-UHFFFAOYSA-N	C12(NC(=O)NC=1C(=O)NC(=O)N2)	
3-methoxy-4-hydroxy-5-<i>all-trans</i>-hexaprenylbenzoate	3-HEXAPRENYL-4-HYDROXY-5-METHOXYBENZOATE	InChIKey=YSZSVGFMAJXGMQ-FRICUITQSA-M	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(OC)=CC(C([O-])=O)=C1)O))C)C)C)C)C)C	
3-methoxy-4-hydroxy-5-<i>all-trans</i>-decaprenylbenzoate	CPD-9897	InChIKey=WCQCNOIKXGNDLX-RDSVHMIISA-M	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(OC)=CC(C([O-])=O)=C1)O))C)C)C)C)C)C)C)C)C)C	
3-methoxy-4-hydroxy-5-<i>all-trans</i>-nonaprenylbenzoate	CPD-9898	InChIKey=FDPPBYXDOXRDHA-JSGWLJPKSA-M	CC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(OC)=CC(C([O-])=O)=C1)O))C)C)C)C)C)C)C)C	
3-methoxy-4-hydroxy-5-<i>all-trans</i>-octaprenylbenzoate	CPD-9899	InChIKey=DZWHYPVPTJPQQX-MYCGWMCTSA-M	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(OC)=CC(C([O-])=O)=C1)O))C)C)C)C)C)C)C)C	
3-methoxy-4-hydroxy-5-<i>all-trans</i>-heptaprenylbenzoate	CPD-9904	InChIKey=KYBJQEICWVEWIL-TUUMQRACSA-M	CC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(OC)=CC(C([O-])=O)=C1)O))C)C)C)C)C)C	
3,4-dihydroxy-5-<i>all-trans</i>-hexaprenylbenzoate	3-HEXAPRENYL-45-DIHYDROXYBENZOATE	InChIKey=VEPICJBQCOUQPI-IRVXXIIISA-M	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(=CC(C([O-])=O)=C1)O)O))C)C)C)C)C)C	
3,4-dihydroxy-5-<i>all-trans</i>-octaprenylbenzoate	CPD-9894	InChIKey=ZTGCMYPRIIAXFD-LHSBZCSKSA-M	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(=CC(C([O-])=O)=C1)O)O))C)C)C)C)C)C)C)C	
3,4-dihydroxy-5-<i>all-trans</i>-decaprenylbenzoate	CPD-9895	InChIKey=HGWUGDIATLOPBN-BHZQGFRMSA-M	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(=CC(C([O-])=O)=C1)O)O))C)C)C)C)C)C)C)C)C)C	
3,4-dihydroxy-5-<i>all-trans</i>-nonaprenylbenzoate	CPD-9896	InChIKey=FMSCZYMOUYOENK-OPSRSWOASA-M	CC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(=CC(C([O-])=O)=C1)O)O))C)C)C)C)C)C)C)C	
3,4-dihydroxy-5-<i>all-trans</i>-heptaprenylbenzoate	CPD-9903	InChIKey=LIEYLSGXGOXYTD-CTBYCIIYSA-M	CC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(=CC(C([O-])=O)=C1)O)O))C)C)C)C)C)C	
2-nitro-5-thiocyanobenzoate	CPD0-1642	InChIKey=NQUNIMFHIWQQGJ-UHFFFAOYSA-M	C(#N)SC1(C=C(C(=O)[O-])C([N+]([O-])=O)=CC=1)	
4-chlorophenylacetonitrile	4-CHLOROPHENYLACETONITRILE	InChIKey=IVYMIRMKXZAHRV-UHFFFAOYSA-N	C(#N)CC1(C=CC(Cl)=CC=1)	
4-hydroxyphenylacetonitrile	CPD-1074	InChIKey=AYKYOOPFBCOXSL-UHFFFAOYSA-N	C(CC1(=CC=C(C=C1)O))#N	
phenylacetonitrile oxide	CPD-12383	InChIKey=WWXJRGBVPANOIB-UHFFFAOYSA-N	C1(C=CC(CC#N=O)=CC=1)	
benzyl isocyanide	CPD-12596	InChIKey=RIWNFZUWWRVGEU-UHFFFAOYSA-N	[C-]#[N+]CC1(C=CC=CC=1)	
2-naphthyl isocyanide	CPD-12599	InChIKey=ZZKQDMRCHFQQCQ-UHFFFAOYSA-N	[C-]#[N+]C2(=CC1(C=CC=CC=1C=C2))	
p-hydroxymandelonitrile	CPD-12889	InChIKey=HOOOPXDSCKBLFG-UHFFFAOYSA-N	C(#N)C(O)C1(=CC=C(O)C=C1)	
3-phenylpropionitrile	CPD-14673	InChIKey=ACRWYXSKEHUQDB-UHFFFAOYSA-N	C(#N)CCC1(C=CC=CC=1)	
benzonitrile	CPD-15582	InChIKey=JFDZBHWFFUWGJE-UHFFFAOYSA-N	C(#N)C1(=CC=CC=C1)	
carbonylcyanide m-chlorophenylhydrazone	CPD-7970	InChIKey=UGTJLJZQQFGTJD-UHFFFAOYSA-N	C(C(=NNC1(C=C(C=CC=1)Cl))C#N)#N	
chlorothalonil	CPD0-1031	InChIKey=CRQQGFGUEAVUIL-UHFFFAOYSA-N	C(C1(=C(C(=C(C(=C1Cl)C#N)Cl)Cl)Cl))#N	
phenylacetonitrile	PHENYLACETONITRILE	InChIKey=SUSQOBVLVYHIEX-UHFFFAOYSA-N	C1(C=CC(=CC=1)CC#N)	
(R)-4-hydroxymandelonitrile	CPD-14590	InChIKey=HOOOPXDSCKBLFG-QMMMGPOBSA-N	C1(C=C(O)C=CC=1C(O)C#N)	
(R)-3,4-dihydroxymandelonitrile	CPD-14592	InChIKey=CRISWXPNFWRXSH-QMMMGPOBSA-N	C1(C=C(O)C(O)=CC=1C(O)C#N)	
3,4-dihydroxymandelonitrile &beta;-<i>D</i>-glucoside	CPD-14593	InChIKey=GZROQPNGIUYLOP-GMDXDWKASA-N	C(C(C1(C=CC(=C(O)C=1)O))OC2(OC(C(C(C2O)O)O)CO))#N	
(<i>S</i>)-4-hydroxymandelonitrile	CPD-648	InChIKey=HOOOPXDSCKBLFG-MRVPVSSYSA-N	C1(C=C(O)C=CC=1C(O)C#N)	
(<i>S</i>)-mandelonitrile	CPD-12701	InChIKey=NNICRUQPODTGRU-MRVPVSSYSA-N	C(C(C1(C=CC=CC=1))O)#N	
(<i>R</i>)-mandelonitrile	CPD-12702	InChIKey=NNICRUQPODTGRU-QMMMGPOBSA-N	C(C(C1(C=CC=CC=1))O)#N	
2-aminophenol	2-AMINOPHENOL	InChIKey=CDAWCLOXVUBKRW-UHFFFAOYSA-N	C1(C=C(N)C(=CC=1)O)	
4-hydroxybenzyl alcohol	4-HYDROXY-BENZYL-ALCOHOL	InChIKey=BVJSUAQZOZWCKN-UHFFFAOYSA-N	C(C1(C=CC(O)=CC=1))O	
4-coumaryl alcohol	COUMARYL-ALCOHOL	InChIKey=PTNLHDGQWUGONS-OWOJBTEDSA-N	C(=CC1(=CC=C(O)C=C1))CO	
<I>p</I>-cumic alcohol	CPD-1002	InChIKey=OIGWAXDAPKFNCQ-UHFFFAOYSA-N	CC(C1(C=CC(CO)=CC=1))C	
S-1-(4-hydroxyphenyl)-ethanol	CPD-10597	InChIKey=PMRFBLQVGJNGLU-LURJTMIESA-N	CC(O)C1(C=CC(O)=CC=1)	
3,4-dimethylphenol	CPD-10888	InChIKey=YCOXTKKNXUZSKD-UHFFFAOYSA-N	CC1(=CC=C(O)C=C(C)1)	
2-[hydroperoxy(4-hydroxyphenyl)methyl]-6-hydroxy-1-benzofuran-3-one	CPD-12032	InChIKey=WNOROHFPPLKOAH-UHFFFAOYSA-N	C1(C=C(O)C=CC=1C(OO)[CH]2(OC3(C(C(=O)2)=CC=C(O)C=3)))	
6-hydroxy-2-[hydroxy-(4-hydroxyphenyl)methyl]-1-benzofuran-3-one	CPD-12033	InChIKey=KOUAZSKCURTENM-UHFFFAOYSA-N	C1(C=C(O)C=CC=1C(O)[CH]2(OC3(C(C(=O)2)=CC=C(C=3)O)))	
6-hydroxy-2-(6-oxo-1-oxaspiro[2.5]octa-4,7-dien-2-yl)-1-benzofuran-3-one	CPD-12036	InChIKey=TYTGARXNZIJWFO-UHFFFAOYSA-N	C4(C=C3(C(=O)[CH](C2(OC1(C=CC(=O)C=C1)2))OC3=CC(O)=4))	
hispidol	CPD-12037	InChIKey=KEZLDSPIRVZOKZ-AUWJEWJLSA-N	C1(C=C(O)C=CC=1[CH]=C2(C(=O)C3(C(O2)=CC(O)=CC=3)))	
6-hydroxy-2-(4-hydroxy-phenoxymethylene)-benzofuran-3-one	CPD-12038	InChIKey=FWGBWKVDBZNNET-ZSOIEALJSA-N	C(OC1(C=CC(O)=CC=1))=C2(OC3(C(C(=O)2)=CC=C(O)C=3))	
orcein	CPD-12326	InChIKey=VPEASJIRGSVXBF-UHFFFAOYSA-N	CC1(=CC(=CC(=C1NC2(C(C=C5(C(C(C)=2)=C3(C(=CC(C(=C(C)3)NC4(=C(C=C(C=C(C)4)O)O))=O)O5)))=O))O)O)	
(3-phenoxyphenyl)methanol	CPD-13113	InChIKey=KGANAERDZBAECK-UHFFFAOYSA-N	C1(C=CC(=CC=1)OC2(=CC=CC(CO)=C2))	
3,5-xylenol	CPD-16608	InChIKey=TUAMRELNJMMDMT-UHFFFAOYSA-N	CC1(=CC(C)=CC(=C1)O)	
2,5-xylenol	CPD-16609	InChIKey=NKTOLZVEWDHZMU-UHFFFAOYSA-N	CC1(=CC(=C(C)C=C1)O)	
4-aminophenol	CPD-259	InChIKey=PLIKAWJENQZMHA-UHFFFAOYSA-N	C1(=CC(=CC=C1N)O)	
chavicol	CPD-6483	InChIKey=RGIBXDHONMXTLI-UHFFFAOYSA-N	C=CCC1(C=CC(=CC=1)O)	
2-amino-3-methylphenol	CPD-9130	InChIKey=FEDLEBCVFZMHBP-UHFFFAOYSA-N	CC1(C(=C(C=CC=1)O)N)	
orcinol	ORCINOL-CPD	InChIKey=OIPPWFOQEKKFEE-UHFFFAOYSA-N	CC1(C=C(C=C(C=1)O)O)	
phenol	PHENOL	InChIKey=ISWSIDIOOBJBQZ-UHFFFAOYSA-N	C1(=CC=C(O)C=C1)	
curcumin 4'-<i>O</i>-&beta;-<i>D</i>-gentiotrioside	CPD-14835	InChIKey=UXXXEKHHDZDJJQ-OFBQGYNZSA-N	COC5(C=C(C=CC(=CC(C=CC1(C=C(C(=CC=1)OC2(C(C(C(C(O2)COC3(C(C(C(C(O3)COC4(C(C(C(C(O4)CO)O)O)O))O)O)O))O)O)O))OC))=O)O)C=CC(O)=5)	
curcumin 4'-<i>O</i>-&beta;-<i>D</i>-gentiotetraside	CPD-14836	InChIKey=SXLFXLCZTZZULG-KQUFAFJRSA-N	COC6(C=C(C=CC(=CC(C=CC1(C=C(C(=CC=1)OC2(C(C(C(C(O2)COC3(C(C(C(C(O3)COC4(C(C(C(C(O4)COC5(C(C(C(C(O5)CO)O)O)O))O)O)O))O)O)O))O)O)O))OC))=O)O)C=CC(O)=6)	
curcumin	CPD-6602	InChIKey=ZIUSSTSXXLLKKK-KOBPDPAPSA-N	COC2(C=C(C=CC(=CC(C=CC1(C=C(C(=CC=1)O)OC))=O)O)C=CC(O)=2)	
curcumin monoglucoside	CPD-6622	InChIKey=SHKKKJAZAXOQJJ-LVCGPBKYSA-N	COC3(=CC(C=CC(=CC(C=CC1(=CC(=C(C=C1)OC2(C(C(C(C(O2)CO)O)O)O))OC))=O)O)=CC=C(O)3)	
curcumin diglucoside	CPD-6623	InChIKey=HQRWPYNQQYEQRQ-QFGNJOFQSA-N	COC4(=CC(C=CC(=CC(C=CC1(=CC(=C(C=C1)OC2(C(C(C(C(O2)CO)O)O)O))OC))=O)O)=CC=C(OC3(OC(C(C(C3O)O)O)CO))4)	
curcumin 4'-O-&beta;-D-gentiobioside	CPD-6624	InChIKey=IHJHVEOMJHXPKL-ORWZVCRDSA-N	COC4(=CC(C=CC(=CC(C=CC1(=CC(=C(C=C1)OC2(C(C(C(C(O2)COC3(C(C(C(C(O3)CO)O)O)O))O)O)O))OC))=O)O)=CC=C(O)4)	
curcumin 4'-O-&beta;-D-gentiobiosyl 4''-O-&beta;-D-glucoside	CPD-6625	InChIKey=ONUWIQDGPDCVOI-JTMSAEIHSA-N	COC5(=CC(C=CC(=CC(C=CC1(=CC(=C(C=C1)OC2(C(C(C(C(O2)COC3(C(C(C(C(O3)CO)O)O)O))O)O)O))OC))=O)O)=CC=C(OC4(OC(C(C(C4O)O)O)CO))5)	
curcumin 4',4''-O-&beta;-D-digentiobioside	CPD-6626	InChIKey=QQCCVSOGYVAKGY-YHPMQNCKSA-N	COC6(=CC(C=CC(=CC(C=CC1(=CC(=C(C=C1)OC2(C(C(C(C(O2)COC3(C(C(C(C(O3)CO)O)O)O))O)O)O))OC))=O)O)=CC=C(OC4(OC(C(C(C4O)O)O)COC5(OC(C(C(C5O)O)O)CO)))6)	
4-nitrobenzyl alcohol	CPD-702	InChIKey=JKTYGPATCNUWKN-UHFFFAOYSA-N	C(O)C1(C=CC(=CC=1)[N+]([O-])=O)	
4-nitrophenol	P-NITROPHENOL	InChIKey=BTJIUGUIPKRLHP-UHFFFAOYSA-M	C1(C=C([O-])C=CC=1[N+](=O)[O-])	
4-methylphenol	CPD-108	InChIKey=IWDCLRJOBJJRNH-UHFFFAOYSA-N	CC1(C=CC(=CC=1)O)	
2-methylphenol	CPD-109	InChIKey=QWVGKYWNOKOFNN-UHFFFAOYSA-N	CC1(C=CC=CC=1O)	
3-methylphenol	CPD-112	InChIKey=RLSSMJSEOOYNOY-UHFFFAOYSA-N	CC1(=CC=CC(=C1)O)	
brocresine	CPD-15233	InChIKey=QNWOSJAGFSUDFE-UHFFFAOYSA-N	C(ON)C1(C=CC(Br)=C(O)C=1)	
3-[(8Z,11Z)-pentadeca-8,11,14-trien-1-yl]phenol	CPD-14641	InChIKey=JOLVYUIAMRUBRK-UTOQUPLUSA-N	C=CCC=CCC=CCCCCCCCC1(C=C(O)C=CC=1)	
amino-parathion	AMINO-PARATHION	InChIKey=XIZOTXGJXSTQDI-UHFFFAOYSA-N	CCOP(OC1(C=CC(=CC=1)N))(OCC)=S	
methyl parathion	CPD-8973	InChIKey=RLBIQVVOMOPOHC-UHFFFAOYSA-N	COP(OC1(C=CC(=CC=1)[N+](=O)[O-]))(OC)=S	
parathion	PARATHION	InChIKey=LCCNCVORNKJIRZ-UHFFFAOYSA-N	CCOP(OC1(C=CC(=CC=1)[N+](=O)[O-]))(OCC)=S	
salicylate 2-O-&beta;-D-glucoside	CPD-12628	InChIKey=TZPBMNKOLMSJPF-BZNQNGANSA-M	C(O)C2(OC(OC1(C(=CC=CC=1)C(=O)[O-]))C(O)C(O)C(O)2)	
2,5-dihydroxybenzoate 2-O-&beta;-D-glucoside	CPD-12663	InChIKey=GEZJVEGHJRPQEX-BZNQNGANSA-M	C(O)C2(OC(OC1(=C(C=C(O)C=C1)C([O-])=O))C(O)C(O)C(O)2)	
2,5-dihydroxybenzoate 5-O-&beta;-D-glucoside	CPD-12665	InChIKey=CBTFERBMQQAROP-BZNQNGANSA-M	C(O)C2(OC(OC1(=CC=C(O)C(C(=O)[O-])=C1))C(O)C(O)C(O)2)	
2-bromoporphobilinogen	2-BROMOPORPHOBILINOGEN	InChIKey=KBACDURQNLFTOL-UHFFFAOYSA-M	C(C1(=C(CC(=O)[O-])C(CCC(=O)[O-])=C(N1)Br))[N+]	
3,5-dibromo-4-hydroxybenzoate	35-DIBROMO-4-HYDROXY-BENZOATE	InChIKey=PHWAJJWKNLWZGJ-UHFFFAOYSA-L	C1(C(Br)=C([O-])C(Br)=CC=1C(=O)[O-])	
bromobenzene	BROMOBENZENE	InChIKey=QARVLSVVCXYDNA-UHFFFAOYSA-N	C1(C=CC(Br)=CC=1)	
2-bromo-4-chlorophenol	CPD-10867	InChIKey=ZIYRDJLAJYTELF-UHFFFAOYSA-N	C1(=C(Cl)C=C(Br)C(=C1)O)	
4-bromobenzoate	CPD-11213	InChIKey=TUXYZHVUPGXXQG-UHFFFAOYSA-M	C(C1(C=CC(=CC=1)Br))([O-])=O	
3-bromogentisate	CPD-11246	InChIKey=WTYVTVJKIOALFD-UHFFFAOYSA-M	C(=O)([O-])C1(=C(O)C(Br)=CC(O)=C1)	
4-bromoresorcinol	CPD-1621	InChIKey=MPCCNXGZCOXPMG-UHFFFAOYSA-N	C1(C=C(Br)C(O)=CC(O)=1)	
p-(bromoacetamido)phenyl uridyl pyrophosphate	CPD0-1326	InChIKey=RQKFRKXXIQLRRR-UHFFFAOYSA-L	C(Br)C(=O)NC1(=CC=C(C=C1)OP([O-])(=O)OP([O-])(=O)OCC3(C(O)C(O)C(N2(C=CC(=O)NC(=O)2))O3))	
